12160,2990,21840,2990
2080,17590,21890,17590
2130,17660,21840,17660
2130,10660,6030,10660
2080,17610,2080,3030
21890,17610,21890,3040
7960,10730,16040,10730
2160,17580,2160,2990
12120,3070,21810,3070
21810,17580,21810,3060
18000,10400,21800,10400
2200,10480,6030,10480
12170,13810,12170,5220
9840,8130,9840,2990
12100,11690,12100,5170
11910,13850,11910,6510
9920,8190,9920,3040
11830,13780,11830,6590
14640,17670,20840,17670
10890,10470,14150,10470
10110,6800,10110,3030
11930,17620,11930,15520
10180,6800,10180,3030
12190,17580,12190,15560
18640,3060,21800,3060
11850,17580,11850,15570
12090,13850,12090,10750
20050,10470,20980,10460
18940,10480,20040,10470
11840,10660,11840,6510
19730,10660,20290,10660
3650,10400,4210,10400
17960,10490,18540,10480
12110,17620,12110,15520
2190,2990,2750,2990
12120,4030,12120,3030
19160,10660,19720,10660
10170,7860,10170,6290
2090,10710,2090,9080
10400,10660,10960,10660
7910,2990,8470,2990
3150,10400,3640,10400
8540,10480,9100,10480
2170,3070,2960,3060
20620,10470,21150,10470
21050,10730,21610,10730
7910,10480,8410,10480
7720,3070,8280,3070
9120,2990,9680,2990
5500,10400,5990,10400
3420,2990,3980,2990
11200,10400,11810,10410
4920,2990,5480,2990
6520,2990,7080,2990
9910,3020,11260,3000
6150,3070,6710,3070
17960,10650,18300,10660
10120,8180,10120,6290
8990,3070,9910,3080
7210,2990,7770,2990
9110,10480,9900,10470
15360,10480,16080,10500
9840,9380,9840,9760
17960,10630,18610,10660
20990,10660,21270,10660
9590,10480,9860,10480
3830,3070,4390,3070
12820,10400,13380,10400
2260,10410,3540,10410
11900,6950,11900,6130
7040,3070,7600,3070
9880,3000,10590,2990
14240,10480,14520,10480
3640,10730,4200,10730
15820,10660,16080,10660
11300,10660,11860,10660
14630,10480,14910,10480
12310,10400,12810,10400
8100,10400,8380,10400
20410,10730,20970,10730
9650,10660,10210,10660
18950,10730,19510,10730
5600,2990,5880,2990
5570,10730,5990,10730
4210,2990,4770,2990
14100,10400,14660,10400
17960,10640,18500,10660
21500,10660,21780,10660
9910,10460,9930,9330
21820,5170,21820,4720
3170,17670,11560,17670
8300,3070,8580,3070
4260,10400,4820,10400
6020,2990,6510,2990
17970,10720,18390,10730
2430,10730,2990,10730
20680,10660,20960,10660
5580,3070,6140,3070
4210,10730,4680,10730
4890,10730,5450,10730
21880,11000,21880,9960
21370,10470,21840,10470
9910,3780,9910,3010
18400,10730,18650,10730
12240,10660,12800,10660
4740,3070,5300,3070
3000,10730,3540,10730
2110,10460,3040,10470
2210,3060,3170,3070
9840,9910,9840,10400
12190,3130,12190,3690
8650,2990,8930,2990
2150,10470,2430,10470
12120,17650,12120,17190
10130,8180,10130,6310
4900,10400,5460,10400
20140,10730,20400,10730
15110,10400,16070,10410
10150,8170,10150,6310
2960,2990,3240,2990
10140,8170,10140,6310
10160,3000,10880,3000
3180,3070,3710,3070
10160,7860,10160,6310
7920,10680,8600,10660
21280,10660,21870,10680
15540,10660,16080,10670
8680,10660,8960,10660
13060,10660,13620,10660
10240,3050,11260,3050
